----------------------------------------------------------------------------------------------------------------------
Rom sets      |   Emulator                        |	  Pi Rom Folder (all can go in 'arcade' or the folder listed below)
----------------------------------------------------------------------------------------------------------------------
0.37b5 			- mame4all-pi / lr-mame2000			- mame-mame4all / mame-libretro (respectively)
0.78   			- lr-mame2003						- mame-libretro
0.78 to 0.188	- lr-mame2003-plus					- mame-libretro
0.94			- AdvanceMAME 0.94					- mame-advmame
0.106			- AdvanceMAME 1.4 / AdvanceMAME 3	- mame-advmame
0.139			- lr-mame2010						- mame-libretro
0.160			- lr-mame2015						- mame-libretro
0.174			- lr-mame2016						- mame-libretro

---------------------
Samples folder
---------------------
/home/pi/RetroPie/BIOS/mame2003/samples/

---------------------
Pi Compatibility List
-------------------------------------------------------------------------------------------------------------------------------------------------------
	SET					| Pi Emulator	| Compatibility List
	---------------------------------------------------------------------------------------------------------------------------------------------------
	0.37b5				- mame4all-pi	- https://docs.google.com/spreadsheets/d/1SHspjyHavY9-PKbO2swDr52BS2Wl_mB_Vjx2Z1SXiD8/edit#gid=828747670
	0.78				- lr-mame2003	- https://docs.google.com/spreadsheets/d/1LP1MELCvcxu7TfiowF_0ZuvRVEMqlfQyTVetnOJvuJc/edit#gid=1744967714
	FB Alpha 0.2.96.71	- PiFBA 		- https://docs.google.com/spreadsheets/d/1OZioLrz16ptaNbjQUDP5hhVzQDTOTn9Nz46Hbj3-06k/edit#gid=906957951
	FB Alpha 0.2.97.42	- lr-fbalpha	- https://docs.google.com/spreadsheets/d/1OZioLrz16ptaNbjQUDP5hhVzQDTOTn9Nz46Hbj3-06k/edit#gid=906957951
	0.171				- SEE LIST ->	- https://docs.google.com/spreadsheets/d/1antILt7D12EWOFzyJwTfB86NceghMJKXG7CdYumuHec/edit#gid=0

											-------------
											|Legend		|	NOTE: Control sets are per player (unless noted)
											|-----------|--------------------
											|	(x)wy	|	(x)-way stick
											|	2lr		|	left-right stick
											|	anlg	|	analog joystick (https://www.ultimarc.com/ultrastik_info.html)
											|	(x)opt	|	(x)-position optical joystick
											|	/		|	"including" ex. anlg/2bt (analog joystick with 2 buttons on the stick)
											|	(x)bt	|	(x) button(s)
											|	270		|	270 degree wheel
											|	360		|	360 degree wheel
											|	(x)ped	|	(x) pedal(s)
											|	HL		|	Hi/Lo shifter
											|	HLwBt	|	Hi/Lo shifter with button
											|	(x)pos	|	(x) position shifter
											|	trk		|	trackball
											|	optsp  	|	optical spinner (no push or pull required)
											|	optppsp	|	optical spinner (both push and pull required)
											|	rot		|	rotary (see rotary instructions below)
											|	rotjoy	|	circular rotating joystick (720 only?)
											|	num		|	number pad
											|	thrt	|	throttle (analog?)
-------------------------------------------------------------------------------
Games                              			| CONTROLS		| HAVE 	| SET 	| EMULATOR	| FILES
-------------------------------------------------------------------------------
'88 Games							(2p)	|3bt			|		|		|			|
'99 The Last War							|8wy,2bt		|		|		|			|
10 Yard Fight								|8wy,2bt		|	y	| 0.78	| 			| yard, vsyard2, vsyard
1000 Miglia: Great 1000 Miglia Rally		|270,2ped		|		|		|			|
1941								(2p)	|8wy,2bt		|	y 	| 0.78	| 			| 1941j, 1941
1942                               			|8wy,2bt		|   y  	| 0.78 	| 			| 1942, 1942a, 1942b
1943								(2p)	|8wy,2bt		|   y	| 0.78	| 			| 1943j, 1943, 1943kai
1944								(2p)	|8wy,2bt		|	y	| 0.78	| 			| 1944, 1944j
19XX								(2p)	|8wy,2bt		|		| 		| 			| 
2 on 2 Open Ice Challenge			(4p)	|8wy,3bt		|		| 		|			| 
2020 Super Baseball							|8wy,4bt		|		|		|			|
64th Street   						(2p)	|8wy,2bt		|		|		|			|
720											|rotjoy,2bt		|	y	| 0.78	| 			| 720r1, 720r2, 720r3, 720
APB											|360,2bt,1ped	|	y	| 0.78	| 			| apb, apb1, apb2, apb3, apb4, apb5, apb6
Acrobatic Dog-Fight							|?				|		|		|			|
Aero Fighters						(2p)	|8wy,2bt		|		|		|			|
Aero Fighters 2						(2p)	|8wy,2bt		|		|		|			|
Aero Fighters 3						(2p)	|8wy,2bt		|		|		|			|
Aero Fighters Special				(2p?)	|8wy?,2bt?		|		|		|			|
After Burner								|anlg/2bt,thrt	|	y	| 0.78	| 			| aburner
After Burner II								|anlg/2bt,thrt	|	y	| 0.78	| 			| aburner2
Age Of Heroes   					(2/4p)	|8wy,2bt		|		|		|			|
Air Buster							(2p)	|8wy,1bt		|		|		|			|
Air Gallet							(2p)	|8wy,2bt?		|		|		|			|
Airwolf								(2p)	|8wy,2bt		|	y	| 0.78	| 			| airwolf
Ajax										|8wy,3bt		|		|		|			|
Akkanbeder							(2p)	|8wy,2bt?		|		|		|			|
Akuma-Jou Dracula							|8wy,2bt		|		|		|			|
Ales No Tsubasa / Legendary Wings	(2p)	|8wy,2bt		|		|		|			|
Alien Storm <broken on lr-mame2003>	(3p)	|8wy,3bt		|		|		|			|
Alien Syndrome						(2p)	|8wy,1bt		|		|		|			|
Alien vs Predator					(3p)	|8wy,3bt		|		|		|			|
Aliens								(2p)	|8wy,2bt		|		|		|			|
Alligator Hunt aka Aligatun			(2p)	|8wy or anlg,2bt|		|		|			|
Alpha Mission (SNK)							|8wy,3bt		|		|		|			|
Alpha Mission II					(2p)	|8wy,4bt		|		|		|			|
Alpha 1 aka Alphaona						|trk,2bt		|		|		|			|
Alpine Ski									|8wy,1bt		|		|		|			|
Altered Beast						(2p)	|8wy,3bt		|   	|		|			| 
American Horseshoes 						|trk			|		|		|			|
